Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
00001,1,uninterpretable,oiseau non identifié,No interpretables,UNIN,uninterpretable,uninterpretable,uninterpretable,uninterpretable,0,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00010,576,Western Grebe,Grèbe élégant,Aechmophorus occidentalis,WEGR,Western Grebe,WesternGrebe,Aechmophorus,occidentalis,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00011,580,Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,CLGR,Clark's Grebe,ClarksGrebe,Aechmophorus,clarkii,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00012,584,unid Aechmophorus,Aechmophorus sp.,Aechmophorus occidentalis/clarkii,AECH,unid. Western Grebe / Clark's Grebe,unid.WesternGrebe/Clark'sGrebe,Aechmophorus,occidentalis/clarkii,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00020,568,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,RNGR,Red-necked Grebe,RedneckedGrebe,Podiceps,grisegena,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00030,564,Horned Grebe,Grèbe esclavon,Podiceps auritus,HOGR,Horned Grebe,HornedGrebe,Podiceps,auritus,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00040,572,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,EAGR,Eared Grebe,EaredGrebe,Podiceps,nigricollis,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00050,556,Least Grebe,NULL,Tachybaptus dominicus,LEGR,Least Grebe,LeastGrebe,Tachybaptus,dominicus,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00060,560,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,PBGR,Pied-billed Grebe,PiedbilledGrebe,Podilymbus,podiceps,96,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00070,544,Common Loon,Plongeon huard,Gavia immer,COLO,Common Loon,CommonLoon,Gavia,immer,31,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00077,552,unid Loon,plongeon sp.,Gavia sp,UNLO,unid. Loon,unid.Loon,Gavia,sp,31,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00080,548,Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,YBLO,Yellow-billed Loon,YellowbilledLoon,Gavia,adamsii,31,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00090,536,Arctic Loon,NULL,Gavia arctica,ARLO,Arctic Loon,ArcticLoon,Gavia,arctica,31,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00100,540,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,PALO,Pacific Loon,PacificLoon,Gavia,pacifica,31,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00101,541,unid Arctic/Pac. Loon,unid Plongeon Arctique/Pacifique,unid. Gavia arctica/pacifica,UNAP,unid. Arctic Loon / Pacific Loon,unid.ArcticLoon/PacificLoon,Gavia,arctica/pacifica,31,3/6/2012,10:23:00,2170,3/6/2012,22:45.1,NULL,List,creation
00110,532,Red-Throated Loon,Plongeon catmarin,Gavia stellata,RTLO,Red-throated Loon,RedthroatedLoon,Gavia,stellata,31,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00120,2132,Tufted Puffin,Macareux huppé,Fratercula cirrhata,TUPU,Tufted Puffin,TuftedPuffin,Fratercula,cirrhata,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00130,2124,Atlantic Puffin,Macareux moine,Fratercula arctica,ATPU,Atlantic Puffin,AtlanticPuffin,Fratercula,arctica,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00140,2128,Horned Puffin,Macareux cornu,Fratercula corniculata,HOPU,Horned Puffin,HornedPuffin,Fratercula,corniculata,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00150,2120,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,RHAU,Rhinoceros Auklet,RhinocerosAuklet,Cerorhinca,monocerata,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
