"localID","SurveyDate","X","Year","Month","Day","Observer","Latitude","Longitude","County","State","common_name","Comments","AOU_code","EnglishFull","Genus","Species","isodate","state_name"
"1","5/13/2010","00:00.0","2010","5","13","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-05-13,"Nevada"
"2","5/4/2010","00:00.0","2010","5","4","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-05-04,"Nevada"
"3","5/4/2010","00:00.0","2010","5","4","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-04,"Nevada"
"4","5/19/2010","00:00.0","2010","5","19","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-05-19,"Nevada"
"5","5/19/2010","00:00.0","2010","5","19","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-19,"Nevada"
"6","6/22/2010","00:00.0","2010","6","22","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-06-22,"Nevada"
"7","6/22/2010","00:00.0","2010","6","22","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-06-22,"Nevada"
"8","7/22/2010","00:00.0","2010","7","22","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-07-22,"Nevada"
"9","7/22/2010","00:00.0","2010","7","22","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-07-22,"Nevada"
"10","5/5/2010","00:00.0","2010","5","5","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-05-05,"Nevada"
"11","5/5/2010","00:00.0","2010","5","5","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-05,"Nevada"
"12","5/20/2010","00:00.0","2010","5","20","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-05-20,"Nevada"
"13","5/20/2010","00:00.0","2010","5","20","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-20,"Nevada"
"14","7/22/2010","00:00.0","2010","7","22","Lundblad","NULL","NULL","Nye","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-07-22,"Nevada"
"15","7/22/2010","00:00.0","2010","7","22","Lundblad","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-07-22,"Nevada"
"16","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2009-06-12,"Nevada"
"17","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2011-05-24,"Nevada"
"18","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2011-05-24,"Nevada"
"19","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-05-24,"Nevada"
"20","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-05-24,"Nevada"
"21","5/15/2009","00:00.0","2009","5","15","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2009-05-15,"Nevada"
"22","5/15/2009","00:00.0","2009","5","15","Jeffers","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-05-15,"Nevada"
